l	m	            C                                S
2	0	  -0.10826360229840D-02	                       0.0
3	0	   0.25324353457544D-05	                       0.0
4	0	   0.16193312050719D-05	                       0.0
5	0	   0.22771610163688D-06	                       0.0
6	0	  -0.53964849049834D-06	                       0.0
7	0	   0.35136844210318D-06	                       0.0
8	0	   0.20251871520885D-06 	               0.0
2	1	  -0.24140000522221D-09	           0.15430999737844D-08
3	1	   0.21927988018965D-05	           0.26801189379726D-06
4	1	  -0.50872530365024D-06	          -0.44945993508117D-06
5	1	  -0.53716510187662D-07	          -0.80663463828530D-07
6	1	  -0.59877976856303D-07	           0.21164664354382D-07
7	1	   0.20514872797672D-06	   	   0.69369893525908D-07
8	1	   0.16034587141379D-07	   	   0.40199781599510D-07 
2	2	   0.15745360427672D-05	  	  -0.90386807301869D-06
3	2	   0.30901604455583D-06	 	  -0.21140239785975D-06
4	2	   0.78412230752366D-07	    	   0.14815545694714D-06
5	2	   0.10559053538674D-06	   	  -0.52326723987632D-07
6	2	   0.60120988437373D-08		  -0.46503948132217D-07
7	2	   0.32844904836492D-07	    	   0.92823143885084D-08
8	2	   0.65765423316743D-08		   0.53813164055056D-08
3	3 	   0.10055885741455D-06	    	   0.19720132389889D-06
4	3	   0.59215743214072D-07	  	  -0.12011291831397D-07
5	3	  -0.14926153867389D-07	  	  -0.71008771406986D-08
6	3	   0.11822664115915D-08	      	   0.18431336880625D-09
7	3	   0.35285405191512D-08	  	  -0.30611502382788D-08
8	3	  -0.19463581555399D-09	  	  -0.87235195047605D-09
4	4	  -0.39823957404129D-08	   	   0.65256058113396D-08
5	4	  -0.22979123502681D-08	   	   0.38730050770804D-09
6	4	  -0.32641389117891D-09	   	  -0.17844913348882D-08
7	4	  -0.58511949148624D-09	   	  -0.26361822157867D-09
8	4	  -0.31893580211856D-09	    	   0.91177355887255D-10
5	5	   0.43047675045029D-09	    	  -0.16482039468636D-08
6	5	  -0.21557711513900D-09	    	  -0.43291816989540D-09
7	5	   0.58184856030873D-12	      	   0.63972526639235D-11
8	5	  -0.46151734306628D-11	     	   0.16125208346784D-10
6	6	   0.22136925556741D-11	     	  -0.55277122205966D-10
7	6	  -0.24907176820596D-10	       	   0.10534878629266D-10
8	6	  -0.18393642697634D-11	       	   0.86277431674150D-11
7	7	   0.25590780149873D-13 	   0.44759834144751D-12 
8 	7	   0.34297618184624D-12 	   0.38147656686685D-12 
8	8	  -0.15803322891725D-12	           0.15353381397148D-12
